
Date,Time,Bus Leakage Status,AC Fault Time,AC Fault Level,Resistor Leakage
2020-04-27,09:54:56,0,0,0,1000
2020-04-27,09:54:58,0,0,0,1000
2020-04-27,09:55:00,0,0,0,1000
2020-04-27,09:55:02,0,0,0,1000
2020-04-27,09:55:04,0,0,0,1000
2020-04-27,09:55:06,0,0,0,1000
2020-04-27,09:55:08,0,0,0,1000
2020-04-27,09:55:10,0,0,0,1000
2020-04-27,09:55:12,0,0,0,1000
2020-04-27,09:55:14,0,0,0,1000
2020-04-27,09:55:16,0,0,0,1000
2020-04-27,09:55:18,0,0,0,1000
2020-04-27,09:55:20,0,0,0,1000
2020-04-27,09:55:22,0,0,0,1000
2020-04-27,09:55:24,0,0,0,1000
2020-04-27,09:55:26,0,0,0,1000
2020-04-27,09:55:28,0,0,0,1000
2020-04-27,09:55:30,0,0,0,1000
2020-04-27,09:55:32,0,0,0,1000
2020-04-27,09:55:34,0,0,0,1000
2020-04-27,09:55:36,0,0,0,1000
2020-04-27,09:55:38,0,0,0,1000
2020-04-27,09:55:40,0,0,0,1000
2020-04-27,09:55:42,0,0,0,1000
2020-04-27,09:55:44,0,0,0,1000
